VIN,OptionalUpgrade,OptionalUpgradeCost
EU50UDN1D51HAZ4W7,Rear-seat entertainment Professional,2700
EU50UDN1D51HAZ4W7,M Sport Brakes,650
EU50UDN1D51HAZ4W7,Night Vision with Pedestrian Detection,2300
0NYN9JQORM0FKSIB5,BMW Laserlight,6300
N901FQP3RA7OX66E0,Bowers & Wilkins Diamond Surround Sound System,3400
N901FQP3RA7OX66E0,Rear-seat entertainment Professional,2700
N901FQP3RA7OX66E0,Night Vision with Pedestrian Detection,2300
79HSRTJ06J9F20RHT,Integral Active Steering,1150
79HSRTJ06J9F20RHT,Bowers & Wilkins Diamond Surround Sound System,3400
79HSRTJ06J9F20RHT,Rear-seat entertainment Professional,2700
79HSRTJ06J9F20RHT,M Sport Brakes,650
79HSRTJ06J9F20RHT,Night Vision with Pedestrian Detection,2300
PDYFYK75GTISRMHAZ,Moonroof,1000
PDYFYK75GTISRMHAZ,Harman Kardon surround sound system,800
R8ZTOZ5KYAQLH6ZHV,Harman Kardon surround sound system,875
R8ZTOZ5KYAQLH6ZHV,Active Cruise Control,1200
B48SFYD3XHDWYRB6P,Integral Active Steering,1150
B48SFYD3XHDWYRB6P,Bowers & Wilkins Diamond Surround Sound System,3400
B48SFYD3XHDWYRB6P,Rear-seat entertainment Professional,2700
B48SFYD3XHDWYRB6P,M Sport Brakes,650
B48SFYD3XHDWYRB6P,Night Vision with Pedestrian Detection,2300
DM99SGFG7EXNEF9SW,Moonroof,1050
DM99SGFG7EXNEF9SW,M Double-clutch Transmission with Drivelogic,1290
DM99SGFG7EXNEF9SW,M Drivers Package,2500
L416UBQHW778R7AQL,M Carbon Ceramic Brakes,8150
L416UBQHW778R7AQL,M Drivers Package,2500
L416UBQHW778R7AQL,Bowers & Wilkins Diamond Surround Sound System,3400
L416UBQHW778R7AQL,Rear-seat entertainment Professional,2200
L416UBQHW778R7AQL,Night Vision with Pedestrian Detection,2300
PKVJDKI2TNU0NO66E,Sport Seats,400
PKVJDKI2TNU0NO66E,Harman Kardon surround sound system,875
PKVJDKI2TNU0NO66E,M Sport Suspension,400
PKVJDKI2TNU0NO66E,Active Driving Assistant,1000
N3GP0V79MU22Y7I04,M Carbon Ceramic Brakes,8150
N3GP0V79MU22Y7I04,M Drivers Package,2500
N3GP0V79MU22Y7I04,Bowers & Wilkins Diamond Surround Sound System,3400
N3GP0V79MU22Y7I04,Rear-seat entertainment Professional,2200
N3GP0V79MU22Y7I04,Night Vision with Pedestrian Detection,2300
Q22Q5IVN84N052DE1,Remote Engine Start,300
Q22Q5IVN84N052DE1,Integral Active Steering,1150
Q22Q5IVN84N052DE1,2-axle air suspension,1000
Q22Q5IVN84N052DE1,Bowers & Wilkins Diamond Surround Sound System,3400
Q22Q5IVN84N052DE1,Active Cruise Control,800
Q22Q5IVN84N052DE1,Night Vision with Pedestrian Detection,2300
KQ4Y2G2T8Q1HZCK0S,Harman Kardon surround sound system,875
KQ4Y2G2T8Q1HZCK0S,Active Cruise Control,1200
SAZXNDDMDXRYGTKB1,Integral Active Steering,1150
SAZXNDDMDXRYGTKB1,Bowers & Wilkins Diamond Surround Sound System,3400
SAZXNDDMDXRYGTKB1,Rear-seat entertainment Professional,2700
SAZXNDDMDXRYGTKB1,M Sport Brakes,650
SAZXNDDMDXRYGTKB1,Night Vision with Pedestrian Detection,2300
3NHLXS1PEE6J228OC,Panoramic Moonroof,1350
3NHLXS1PEE6J228OC,Harman Kardon surround sound system,875
3NHLXS1PEE6J228OC,Dynamic Damper Control,1000
3NHLXS1PEE6J228OC,Active Cruise Control,1200
4T8CT3N5FORO4J14M,Bowers & Wilkins Diamond Surround Sound System,3400
4T8CT3N5FORO4J14M,Rear-seat entertainment Professional,2700
4T8CT3N5FORO4J14M,Night Vision with Pedestrian Detection,2300
IYLM9PMX15AERRK8V,Sport Seats,400
IYLM9PMX15AERRK8V,Harman Kardon surround sound system,875
IYLM9PMX15AERRK8V,M Sport Suspension,400
IYLM9PMX15AERRK8V,Active Driving Assistant,1000
1HFUZ9CVWVCHBG0CE,Moonroof,1050
1HFUZ9CVWVCHBG0CE,M Double-clutch Transmission with Drivelogic,1290
1HFUZ9CVWVCHBG0CE,M Drivers Package,2500
1AFKDWIC7H7OAFG0G,Moonroof,1000
1AFKDWIC7H7OAFG0G,Harman Kardon surround sound system,800
OUB1LJEH23Q8B71QK,Bowers & Wilkins Diamond Surround Sound System,3400
OUB1LJEH23Q8B71QK,Rear-seat entertainment Professional,2700
OUB1LJEH23Q8B71QK,Night Vision with Pedestrian Detection,2300
CXDY8EI5KHIPCUF6F,Harman Kardon surround sound system,875
CXDY8EI5KHIPCUF6F,Dynamic Damper Control,1000
CXDY8EI5KHIPCUF6F,Active Cruise Control,1200
7K7SWJEF8NX3PI1EL,M Carbon Ceramic Brakes,8150
7K7SWJEF8NX3PI1EL,M Drivers Package,2500
6AUOFP0FD6TJNZ5T8,Remote Engine Start,300
6AUOFP0FD6TJNZ5T8,Harman Kardon surround sound system,875
6AUOFP0FD6TJNZ5T8,Active Cruise Control,1200
3D2E1G7Z77CI83ZYP,BMW Laserlight,6300
4VQZA95A8QL8A56IB,Panoramic Moonroof,1350
4VQZA95A8QL8A56IB,Harman Kardon surround sound system,875
4VQZA95A8QL8A56IB,Dynamic Damper Control,1000
4VQZA95A8QL8A56IB,Active Cruise Control,1200
V7AAWIL1SWMCHPASA,Bang & Olufsen Sound System,3700
V7AAWIL1SWMCHPASA,Night Vision with Pedestrian Detection,2300
P7PPJWK95GLGNQSW8,Moonroof,1050
P7PPJWK95GLGNQSW8,M Double-clutch Transmission with Drivelogic,1290
P7PPJWK95GLGNQSW8,M Drivers Package,2500
8BSSHH9D3MCS0YQW4,Panoramic Moonroof,1350
8BSSHH9D3MCS0YQW4,Harman Kardon surround sound system,875
8BSSHH9D3MCS0YQW4,Dynamic Damper Control,1000
8BSSHH9D3MCS0YQW4,Active Cruise Control,1200
U3SXCAJOCD7657G5Y,Integral Active Steering,1150
U3SXCAJOCD7657G5Y,Bowers & Wilkins Diamond Surround Sound System,4200
U3SXCAJOCD7657G5Y,Rear-seat entertainment Professional,2200
U3SXCAJOCD7657G5Y,M Sport Brakes,650
U3SXCAJOCD7657G5Y,Active Cruise Control,1200
U3SXCAJOCD7657G5Y,Night Vision with Pedestrian Detection,2300
CJV2JKXBW65YO9RLO,Harman Kardon surround sound system,875
CJV2JKXBW65YO9RLO,Adaptive M Suspension,700
CJV2JKXBW65YO9RLO,Active Cruise Control,1200
DPARI70KK5VC0AU0E,Integral Active Steering,1150
DPARI70KK5VC0AU0E,Bowers & Wilkins Diamond Surround Sound System,3400
DPARI70KK5VC0AU0E,Rear-seat entertainment Professional,2700
DPARI70KK5VC0AU0E,M Sport Brakes,650
DPARI70KK5VC0AU0E,Night Vision with Pedestrian Detection,2300
Y4NB1VGTP9GEOKEK6,Integral Active Steering,1150
Y4NB1VGTP9GEOKEK6,Bowers & Wilkins Diamond Surround Sound System,3400
Y4NB1VGTP9GEOKEK6,Rear-seat entertainment Professional,2700
Y4NB1VGTP9GEOKEK6,M Sport Brakes,650
Y4NB1VGTP9GEOKEK6,Night Vision with Pedestrian Detection,2300
VPVH6Q65FFIZZ2Z6Z,M Drivers Package,2500
UJYY6GIJJFZ4RLZR7,Bowers & Wilkins Diamond Surround Sound System,3400
UJYY6GIJJFZ4RLZR7,Rear-seat entertainment Professional,2700
UJYY6GIJJFZ4RLZR7,Night Vision with Pedestrian Detection,2300
MDXI5OYFY3RBGY3KW,Multi-contour seats,1300
MDXI5OYFY3RBGY3KW,Rear-seat entertainment Professional,2200
MDXI5OYFY3RBGY3KW,Bang & Olufsen Sound System,4500
MDXI5OYFY3RBGY3KW,Dynamic Damper Control + rear axle air suspension,1500
MDXI5OYFY3RBGY3KW,Night Vision with Pedestrian Detection,2300
ZMSXTF0EDVERQU1UO,Bowers & Wilkins Diamond Surround Sound System,3400
ZMSXTF0EDVERQU1UO,Rear-seat entertainment Professional,2700
ZMSXTF0EDVERQU1UO,Night Vision with Pedestrian Detection,2300
BDYNS4K4O6PTPSZVS,BMW Laserlight,6300
DYW6GAQCUU8WNKQ79,M Carbon Ceramic Brakes,8150
DYW6GAQCUU8WNKQ79,M Drivers Package,2500
DYW6GAQCUU8WNKQ79,Bowers & Wilkins Diamond Surround Sound System,3400
DYW6GAQCUU8WNKQ79,Rear-seat entertainment Professional,2200
DYW6GAQCUU8WNKQ79,Night Vision with Pedestrian Detection,2300
X8DYVGYDR2CQCB599,Panoramic Moonroof,1350
X8DYVGYDR2CQCB599,Harman Kardon surround sound system,875
X8DYVGYDR2CQCB599,Dynamic Damper Control,1000
X8DYVGYDR2CQCB599,Active Cruise Control,1200
WK6DW59TLIUW4P6K8,Bowers & Wilkins Diamond Surround Sound System,3400
WK6DW59TLIUW4P6K8,Rear-seat entertainment Professional,2700
WK6DW59TLIUW4P6K8,Night Vision with Pedestrian Detection,2300
LPK1IP06LOJZ80T9K,M Carbon Ceramic Brakes,8150
LPK1IP06LOJZ80T9K,M Drivers Package,2500
PZJCB87IR5IMBTE9A,Panoramic Moonroof,1350
PZJCB87IR5IMBTE9A,Harman Kardon surround sound system,875
PZJCB87IR5IMBTE9A,Dynamic Damper Control,500
PZJCB87IR5IMBTE9A,Active Driving Assistant,1000
9TYII8D55UXYQ1T1X,Harman Kardon surround sound system,875
9TYII8D55UXYQ1T1X,Active Cruise Control,1200
PLIJ3JI3LEEWXEYLF,Panoramic Moonroof,1350
PLIJ3JI3LEEWXEYLF,Harman Kardon surround sound system,875
PLIJ3JI3LEEWXEYLF,Dynamic Damper Control,1000
PLIJ3JI3LEEWXEYLF,Active Cruise Control,1200
D24VW7MCH7UEXK3BI,Harman Kardon surround sound system,875
D24VW7MCH7UEXK3BI,Active Cruise Control,1200
K7E4SX1E67J1HJ88V,Integral Active Steering,1150
K7E4SX1E67J1HJ88V,Bowers & Wilkins Diamond Surround Sound System,3400
K7E4SX1E67J1HJ88V,Rear-seat entertainment Professional,2700
K7E4SX1E67J1HJ88V,M Sport Brakes,650
K7E4SX1E67J1HJ88V,Night Vision with Pedestrian Detection,2300
4M0P26VBGQYCNRU7S,Integral Active Steering,1150
4M0P26VBGQYCNRU7S,Bowers & Wilkins Diamond Surround Sound System,3400
4M0P26VBGQYCNRU7S,Rear-seat entertainment Professional,2700
4M0P26VBGQYCNRU7S,M Sport Brakes,650
4M0P26VBGQYCNRU7S,Night Vision with Pedestrian Detection,2300
RL7BQXT1W9RA6TSNP,Bowers & Wilkins Diamond Surround Sound System,3400
RL7BQXT1W9RA6TSNP,Rear-seat entertainment Professional,2700
RL7BQXT1W9RA6TSNP,Night Vision with Pedestrian Detection,2300
DB1L9GDSBY16RDMIJ,BMW Laserlight,6300
XYF6YON7N5R2IVE1G,Panoramic Moonroof,1350
XYF6YON7N5R2IVE1G,Harman Kardon surround sound system,875
XYF6YON7N5R2IVE1G,Dynamic Damper Control,500
XYF6YON7N5R2IVE1G,Active Driving Assistant,1000
58Y7JSZDG33QPOE89,Bowers & Wilkins Diamond Surround Sound System,3400
58Y7JSZDG33QPOE89,Rear-seat entertainment Professional,2700
58Y7JSZDG33QPOE89,Night Vision with Pedestrian Detection,2300
67RKMU53F6WPLD267,M Carbon Ceramic Brakes,8150
67RKMU53F6WPLD267,M Drivers Package,2500
67RKMU53F6WPLD267,Bowers & Wilkins Diamond Surround Sound System,3400
67RKMU53F6WPLD267,Rear-seat entertainment Professional,2200
67RKMU53F6WPLD267,Night Vision with Pedestrian Detection,2300
OK4OZ6GQPFBTPGS6N,Bowers & Wilkins Diamond Surround Sound System,3400
OK4OZ6GQPFBTPGS6N,Rear-seat entertainment Professional,2700
OK4OZ6GQPFBTPGS6N,Night Vision with Pedestrian Detection,2300
R7XDAMTQREHEM5QDT,Active Cruise Control,1200
LA54LS34EQIHR9MF4,BMW Laserlight,6300
43FLP7RXDHPNG1D57,M Carbon Ceramic Brakes,8150
43FLP7RXDHPNG1D57,M Drivers Package,2500
T40RJ40GVAYF5CRW4,Panoramic Moonroof,1350
T40RJ40GVAYF5CRW4,Rear Spoiler,150
T40RJ40GVAYF5CRW4,Harman Kardon surround sound system,875
T40RJ40GVAYF5CRW4,M Sport Suspension,400
T40RJ40GVAYF5CRW4,Active Driving Assistant,1000
F8G63WBA5GV6SYFZD,Bowers & Wilkins Diamond Surround Sound System,3400
F8G63WBA5GV6SYFZD,Rear-seat entertainment Professional,2700
F8G63WBA5GV6SYFZD,Night Vision with Pedestrian Detection,2300
72103ENBWDVOEIN5R,Remote Engine Start,300
72103ENBWDVOEIN5R,Integral Active Steering,1150
72103ENBWDVOEIN5R,Bowers & Wilkins Diamond Surround Sound System,3400
72103ENBWDVOEIN5R,Rear-seat entertainment Professional,2200
72103ENBWDVOEIN5R,M Sport Brakes,650
H3IIPBDC8TGWEZ51M,Bowers & Wilkins Diamond Surround Sound System,3400
H3IIPBDC8TGWEZ51M,Rear-seat entertainment Professional,2700
H3IIPBDC8TGWEZ51M,Night Vision with Pedestrian Detection,2300
1RBPMHOLH1N0M00ZN,Remote Engine Start,300
1RBPMHOLH1N0M00ZN,Active Cruise Control,1200
ATPBMUZD8OS73NAZN,Bowers & Wilkins Diamond Surround Sound System,3400
ATPBMUZD8OS73NAZN,Rear-seat entertainment Professional,2200
ATPBMUZD8OS73NAZN,Active Cruise Control,1200
ATPBMUZD8OS73NAZN,Night Vision with Pedestrian Detection,2300
F6GKHBA17T6ZXVGRH,Bowers & Wilkins Diamond Surround Sound System,3400
F6GKHBA17T6ZXVGRH,Rear-seat entertainment Professional,2700
F6GKHBA17T6ZXVGRH,Night Vision with Pedestrian Detection,2300
L6TUUO4ZJIKACODF5,BMW Laserlight,6300
EP7KBJ8YJS6G7OEXO,M Carbon Ceramic Brakes,8150
EP7KBJ8YJS6G7OEXO,M Drivers Package,2500
2NJ8EGOTHORI9T93I,M Carbon Ceramic Brakes,8150
2NJ8EGOTHORI9T93I,M Drivers Package,2500
2NJ8EGOTHORI9T93I,Bowers & Wilkins Diamond Surround Sound System,3400
2NJ8EGOTHORI9T93I,Rear-seat entertainment Professional,2200
2NJ8EGOTHORI9T93I,Night Vision with Pedestrian Detection,2300
P8M4ASJJCBDVBPHD7,Integral Active Steering,1150
P8M4ASJJCBDVBPHD7,Bowers & Wilkins Diamond Surround Sound System,4200
P8M4ASJJCBDVBPHD7,Rear-seat entertainment Professional,2200
P8M4ASJJCBDVBPHD7,M Sport Brakes,650
P8M4ASJJCBDVBPHD7,Active Cruise Control,1200
P8M4ASJJCBDVBPHD7,Night Vision with Pedestrian Detection,2300
2LJLBGA80H0AJ6596,M Carbon Ceramic Brakes,8150
2LJLBGA80H0AJ6596,M Drivers Package,2500
2LJLBGA80H0AJ6596,Night Vision with Pedestrian Detection,2300
CRZLF2XXTMF4351EI,Sport Seats,400
CRZLF2XXTMF4351EI,Harman Kardon surround sound system,875
CRZLF2XXTMF4351EI,M Sport Suspension,400
CRZLF2XXTMF4351EI,Active Driving Assistant,1000
VUJASHLCNEWMM690Q,Bowers & Wilkins Diamond Surround Sound System,3400
VUJASHLCNEWMM690Q,Rear-seat entertainment Professional,2700
VUJASHLCNEWMM690Q,Night Vision with Pedestrian Detection,2300
FI2F6YR1F43WZKB5T,M Carbon Roof,3000
FI2F6YR1F43WZKB5T,Bowers & Wilkins Diamond Surround Sound System,3400
FI2F6YR1F43WZKB5T,Night Vision with Pedestrian Detection,2300
KODU56L6I7SWKOGLT,Bowers & Wilkins Diamond Surround Sound System,3400
KODU56L6I7SWKOGLT,Rear-seat entertainment Professional,2700
KODU56L6I7SWKOGLT,Night Vision with Pedestrian Detection,2300
U68AH8QS0LS75WDDY,Bang & Olufsen Sound System,3700
U68AH8QS0LS75WDDY,Night Vision with Pedestrian Detection,2300
3ZQEXV9J94Z4MO2L1,BMW Laserlight,6300
GXXOPGNZAKUSRYGQQ,Bang & Olufsen Sound System,3700
GXXOPGNZAKUSRYGQQ,Night Vision with Pedestrian Detection,2300
ICW858ZG0MSTKTMMU,M Carbon Ceramic Brakes,8150
ICW858ZG0MSTKTMMU,M Drivers Package,2500
J05SDD85S3OYY54SM,Panoramic Moonroof,1350
J05SDD85S3OYY54SM,Harman Kardon surround sound system,875
J05SDD85S3OYY54SM,Dynamic Damper Control,1000
J05SDD85S3OYY54SM,Active Cruise Control,1200
R5A7SHJ95YRVSKZRO,Bowers & Wilkins Diamond Surround Sound System,3400
R5A7SHJ95YRVSKZRO,Rear-seat entertainment Professional,2700
R5A7SHJ95YRVSKZRO,Night Vision with Pedestrian Detection,2300
TIR6RBG5SEVO3ML5Z,Sport Seats,400
TIR6RBG5SEVO3ML5Z,Harman Kardon surround sound system,875
TIR6RBG5SEVO3ML5Z,M Sport Suspension,400
TIR6RBG5SEVO3ML5Z,Active Driving Assistant,1000
MUPMYS7588X659L2S,Harman Kardon surround sound system,875
MUPMYS7588X659L2S,Adaptive M Suspension,700
MUPMYS7588X659L2S,Active Cruise Control,1200
UH4TUK28T0OFHM6V2,Bowers & Wilkins Diamond Surround Sound System,3400
UH4TUK28T0OFHM6V2,Rear-seat entertainment Professional,2700
UH4TUK28T0OFHM6V2,Night Vision with Pedestrian Detection,2300
FR1IR7NH7YZR6HZGQ,BMW Laserlight,6300
71NXHWPFE1DBJF3IY,Integral Active Steering,1150
71NXHWPFE1DBJF3IY,Bowers & Wilkins Diamond Surround Sound System,3400
71NXHWPFE1DBJF3IY,Rear-seat entertainment Professional,2700
71NXHWPFE1DBJF3IY,M Sport Brakes,650
71NXHWPFE1DBJF3IY,Night Vision with Pedestrian Detection,2300
JO4DPVPJM60PTLZQK,Integral Active Steering,1150
JO4DPVPJM60PTLZQK,Bowers & Wilkins Diamond Surround Sound System,3400
JO4DPVPJM60PTLZQK,Rear-seat entertainment Professional,2700
JO4DPVPJM60PTLZQK,M Sport Brakes,650
JO4DPVPJM60PTLZQK,Night Vision with Pedestrian Detection,2300
XBDLF1SNNJSNH9W02,M Carbon Ceramic Brakes,8150
XBDLF1SNNJSNH9W02,M Drivers Package,2500
XBDLF1SNNJSNH9W02,Night Vision with Pedestrian Detection,2300
QQXXLQJ8EE9PKST5S,Bowers & Wilkins Diamond Surround Sound System,3400
QQXXLQJ8EE9PKST5S,Rear-seat entertainment Professional,2700
QQXXLQJ8EE9PKST5S,Night Vision with Pedestrian Detection,2300
HMRW7D8UUNA84S2E7,Moonroof,1050
HMRW7D8UUNA84S2E7,M Double-clutch Transmission with Drivelogic,1290
HMRW7D8UUNA84S2E7,M Drivers Package,2500
ZPMN5VCAAUPF69GQK,Integral Active Steering,1150
ZPMN5VCAAUPF69GQK,Bowers & Wilkins Diamond Surround Sound System,3400
ZPMN5VCAAUPF69GQK,Rear-seat entertainment Professional,2700
ZPMN5VCAAUPF69GQK,M Sport Brakes,650
ZPMN5VCAAUPF69GQK,Night Vision with Pedestrian Detection,2300
7FYQAZLSYP4V0AJVJ,Moonroof,1000
7FYQAZLSYP4V0AJVJ,Harman Kardon surround sound system,800
JC8XM9XCP95X8BUK1,Moonroof,1050
JC8XM9XCP95X8BUK1,M Double-clutch Transmission with Drivelogic,1290
JC8XM9XCP95X8BUK1,M Drivers Package,2500
1A3FG0VC73YKGTMKR,M Carbon Ceramic Brakes,8150
1A3FG0VC73YKGTMKR,M Drivers Package,2500
25W94EN2R4U1A06U9,M Carbon Ceramic Brakes,8150
25W94EN2R4U1A06U9,M Drivers Package,2500
YIOFHZF1K8VFXBHNO,M Carbon Ceramic Brakes,8150
YIOFHZF1K8VFXBHNO,M Drivers Package,2500
VCUFSOM64U1WCO7NL,M Carbon Ceramic Brakes,8150
VCUFSOM64U1WCO7NL,M Drivers Package,2500
CP2TYBAC7RNMXWPGS,Bowers & Wilkins Diamond Surround Sound System,3400
CP2TYBAC7RNMXWPGS,Rear-seat entertainment Professional,2700
CP2TYBAC7RNMXWPGS,Night Vision with Pedestrian Detection,2300
XM13XRIU6FM5YOKVT,Bowers & Wilkins Diamond Surround Sound System,3400
XM13XRIU6FM5YOKVT,Rear-seat entertainment Professional,2700
XM13XRIU6FM5YOKVT,Night Vision with Pedestrian Detection,2300
