ManufacturerID,ManufacturerName,ManufacturerStreet,ManufacturerCounty,ManufacturerState,ManufacturerZip
701867,Carpenter Technology Corp.,59 PACIFIC AVE,Clarksville,Oklahoma,6962
464684,Brinker International,64 GRATTAN ST,Pasadena,Nebraska,33660
881073,Adobe Systems Incorporated,136 BAXTER ALY,Rockford,Hawaii,22040
648183,Shopko Stores Inc,127 LEIDESDORFF ST,Phoenix,South Dakota,84249
247758,Telephone & Data Systems Inc,49 HOLLOWAY AVE,New Bedford,Nebraska,7692
311590,Equity Residential Properties Trust,43 SOLA AVE,Saint Louis,Iowa,11068
938876,Kemet Corp.,83 HWY 101 N ON RAMP,Nashville,Montana,51903
348478,Dillard's Inc.,152 ASHWOOD LN,Pueblo,Rhode Island,85161
868675,Adolph Coors Company,133 MILEY ST,Sebastian,West Virginia,64670
806573,Reliant Energy Inc.,113 FARRAGUT AVE,Vancouver,Louisiana,93814
434756,FMC Corp,178 CHATHAM PL,Sarasota,Arkansas,58645
963003,Paccar Inc,6 NOTTINGHAM PL,Panama City,South Dakota,72290
111949,Idacorp Inc.,74 09TH AVE,Moreno Valley,Michigan,6941
133322,Citizens Communications Co.,171 BLISS RD,Atlanta,Indiana,52769
663759,Starbucks Corp,200 LAKEVIEW AVE,Santa Cruz,Kentucky,96568
556815,R.J. Reynolds Tobacco Company,115 DUBOCE AVE,Deltona,Minnesota,29969
483374,United Stationers Inc,172 SUNSET BLVD OFF RAMP,Danbury,Massachusetts,26516
506433,Dean Foods Company,95 MIDDLE WEST DR,Springfield,Colorado,61581
760469,Atmel Corporation,1 TEMPLE ST,Lake Charles,New Jersey,52490
144354,Fleming Companies Inc.,119 BEULAH ST,Norwalk,Hawaii,26403
760246,Duke Energy Corp,121 GATEVIEW AVE,Moreno Valley,South Dakota,35319
88286,Union Planters Corp,171 CASTELO AVE,Nashville,Tennessee,58919
136698,Tiffany & Co,168 PIEDMONT ST,Hollywood,Texas,76246
98367,MeadWestvaco Corporation,171 CITYVIEW WAY,St. Louis,Mississippi,98846
480777,Ross Stores Inc,174 DE LONG ST,Palm Bay,Arizona,55248
131174,Cendant Corp,118 BLACKSTONE CT,Boulder,West Virginia,56070
955936,St. Jude Medical Inc,34 GARDENSIDE DR,Bremerton,Alabama,9111
703799,Solectron Corp,68 KEARNY LN,Wilmington,Oklahoma,21585
937243,Wyndham International Inc,124 ROBINSON ST,Killeen,Vermont,86677
630638,ConAgra Foods Inc.,194 MARK TWAIN PL,Kaneohe,Mississippi,15513
392704,Cadence Design Systems,36 CHURCH PARKING LOT,Newport News,Pennsylvania,29014
250853,Alberto-Culver Company,41 DELMAR ST,Toledo,Hawaii,70726
500449,Wal-Mart Stores Inc,153 TRUMBULL ST,Baltimore,West Virginia,46668
760023,Sanmina-SCI Inc,35 MARCY PL,Kenosha,Maine,4834
5991,Cooper Tire & Rubber Co.,45 GUERRERO ST,Murrieta,Texas,98763
264573,Cigna Corp,48 MARCELA AVE,Grand Rapids,California,91331
200440,Fidelity National Financial Inc.,16 ITALY AVE,South Lyon,Maryland,9104
547716,OGE Energy Corp,110 COMPTON RD,Grand Rapids,Connecticut,33740
791653,Gateway Inc.,35 SAINT GEORGE ALY,Poughkeepsie,Wyoming,91615
363665,Kellogg Company,185 JOHN F KENNEDY DR,Detroit,Colorado,47161
765324,Ohio Casualty Corp.,113 VINE TER,Waco,Missouri,76764
243382,The May Department Stores Company,133 COOK ST,Hampton,Mississippi,14541
786614,PPL Corp,82 WEST HALLECK ST,Normal,North Carolina,24762
350572,Sealed Air Corp,121 MUSEUM WAY,Oxnard,New Mexico,81726
148376,Systemax Inc.,11 QUARRY RD,West Valley City,Rhode Island,31226
253456,FirstEnergy Corp.,64 MARY ST,McAllen,Rhode Island,1217
883547,Knight-Ridder Inc.,82 ARMORY DR,Dayton,Alabama,38648
43454,Great Plains Energy Inc.,54 HIMMELMANN PL,Akron,New Mexico,9008
238448,ALLTEL Corporation,120 GIRARD ST,Muskegon,New York,81613
652084,International Business Machines Corp.,30 LISBON ST,Arlington,Colorado,56291
704432,American Axle & Manufacturing Holdings,79 RICKARD ST,Buffalo,South Dakota,42964
461388,Quantum Corp,145 HANOVER ST,Pensacola,Idaho,82663
485802,Ingram Micro Inc.,108 LOCUST ST,Pueblo,Texas,55630
708310,Protective Life Corp,172 MCALLISTER ST,Yonkers,Arkansas,90220
817536,Peoples Energy Corp.,173 SYCAMORE ST,Huntsville,Alaska,43166
633038,Centex Corp.,102 OCEANVIEW TER,Santa Maria,Vermont,47974
138882,Budget Group,88 NEWTON ST,New Haven,North Carolina,42518
308557,Federated Department Stores Inc.,32 WEST BROADWAY,Fort Worth,Washington,93052
771007,Intuit Inc.,33 MONTECITO AVE,Lansing,Georgia,87051
41728,Plains All American Pipeline LP,50 SPENCER ST,Orlando,North Dakota,4663
558312,AmerisourceBergen Corporation,20 SHAKESPEARE ST,Pueblo,Massachusetts,9935
883955,Coca-Cola Co.,51 ALBERTA ST,Lubbock,West Virginia,56524
328690,York International Corp,67 22ND AVE,Cleveland,Louisiana,18933
328496,AOL Time Warner Inc.,57 JONES ST,Marina,Michigan,4165
280480,Pitney Bowes Inc.,144 CLAREMONT BLVD,Coral Springs,New Hampshire,23090
589372,Ecolab Inc.,83 CORALINO LN,Burlington,South Dakota,63062
157163,Saks Inc,125 SAN MIGUEL ST,Syracuse,Vermont,19326
429152,Scana Corp.,103 CHILTON AVE,Newark,Indiana,79098
543164,Synovus Financial Corp.,14 MUNICH ST,San Buenaventura,Hawaii,38706
691470,Pro-Fac Cooperative Inc.,176 TORNEY AVE,Spartanburg,Indiana,39467
972817,IT Group Inc.,197 WILLARD ST NORTHNORTH,St. Paul,Maine,97396
869266,NVR Inc,149 PIEDMONT ST,Shreveport,Arizona,91918
536960,U.S. Bancorp,63 CHESTER AVE,Daly City,Arizona,41531
714566,Timken Company,133 GLADSTONE DR,Montgomery,Missouri,7445
870729,Kemet Corp.,75 PHOENIX TER,Joliet,Wyoming,48952
825467,Longs Drug Stores Corporation,129 GENE FRIEND WAY,North Charleston,Florida,98625
936238,Safeguard Scientifics Inc.,26 COLONIAL WAY,Bremerton,California,39645
12896,Kimberly-Clark Corporation,78 FOREST RD,Arvada,Kentucky,14326
702181,Precision Castparts Corp,169 NORWICH ST,Laredo,Utah,14350
688515,Novellus Systems Inc,118 CODMAN PL,Moreno Valley,Iowa,5672
197770,U.S. Industries Inc.,58 SCOTLAND ST,Garden Grove,South Carolina,21875
871193,America West Holdings Corporation,138 HARRY ST,Lafayette,Washington,20598
839787,The Lubrizol Corporation,54 RAE AVE,Overland Park,New York,61596
6713,CMGI Inc.,116 ANZA AVE,Oxnard,Illinois,26399
329793,Atmos Energy Corporation,91 ENTRADA CT,Montgomery,Connecticut,73610
871462,Scientific-Atlanta Inc,108 FREDSON CT,Newburgh,Vermont,20850
168626,Progressive Corporation,60 MINERVA ST,Birmingham,Montana,24598
252975,United Auto Group Inc,59 STERNBERG RD,Tacoma,Florida,31292
287932,Thermo Electron Corporation,148 GOUGH ST,Anchorage,West Virginia,14168
231299,BorgWarner Inc.,17 AVENUE I,Pueblo,New Mexico,13584
336696,Steelcase Inc,170 MIDDLEFIELD DR,Chesapeake,Utah,9991
70958,Echostar Communications Corporation,191 INDIA ST,Brownsville,Maryland,22411
834510,Flowers Foods Inc.,145 ULLOA ST,Killeen,Wyoming,98754
6249,USA Interactive,126 DANIEL BURNHAM CT,Sioux Falls,New Jersey,34955
30035,General Motors Corporation,3 HARDING RD,Naples,South Carolina,37357
963971,J.B. Hunt Transport Services Inc.,22 GODEUS ST,Fort Collins,South Dakota,90728
66330,Outback Steakhouse Inc.,6 WALTER U LUM PL,Naples,Montana,39845
849991,Colgate-Palmolive Co.,123 DEMING ST,Vallejo,Vermont,17744
957722,Computer Sciences Corp.,21 NOB HILL PL,Naples,Hawaii,33654
697400,NorthWestern Corporation,36 MANZANITA AVE,Waterloo,Nebraska,21130
520407,Constellation Brands Inc.,191 MENDELL ST,Jefferson,Oregon,29937
321517,Veritas Software Corporation,149 04TH AVE,Barnstable,North Carolina,21240
281587,New York Times Company,15 SYLVAN DR,San Diego,Connecticut,84604
356314,National City Corp.,78 AVENUE B,Panama City,West Virginia,28736
778274,Longs Drug Stores Corporation,94 25TH AVE NORTHNORTH,Yakima,West Virginia,44354
566427,The Lubrizol Corporation,94 SUMNER AVE,St. Louis,Missouri,10385
36693,OGE Energy Corp,157 LAKESHORE DR,Roanoke,Tennessee,60629
828345,Perini Corp,40 RAMONA AVE,Moreno Valley,Virginia,97036
977363,NVR Inc,37 SAN PABLO AVE,Albany,Ohio,62716
109230,Harris Corp.,92 HARRINGTON ST,Jacksonville,Ohio,37837
937979,Consolidated Freightways Corp.,7 LOEHR ST,Long Beach,California,274
802176,SPX Corp,172 BRICE TER,Olympia,Oregon,24919
283908,Sempra Energy,45 MARCY PL,Howell,New Mexico,25164
202451,Newell Rubbermaid Inc,165 BRODERICK ST,Panama City,Indiana,23916
889774,Computer Associates International Inc.,22 CLARENCE PL,New London,Pennsylvania,18264
83122,Genuine Parts Company,178 JUNIPERO SERRA BLVD,Denver,Alaska,75018
92706,Airborne,114 HAIGHT ST,Oklahoma City,West Virginia,26415
420139,Dreyer's Grand Ice Cream,67 KEZAR DR,Gulfport-Biloxi,South Dakota,20482
182717,Sears Roebuck & Co,122 WORDEN ST,Ocala,Tennessee,54668
765808,Target Corp.,94 MOSS ST,Baltimore,West Virginia,26752
189275,Georgia Gulf Corporation,128 COMMER CT,Duluth,Utah,88925
763196,Yum Brands Inc.,133 26TH ST,Greenville,Alabama,88428
703198,DaVita Inc.,31 BEATRICE LN,Norwalk,Florida,56521
196104,Dean Foods Company,84 MELBA AVE,Augusta,Maine,35694
227890,Nash Finch Company,90 OCEAN AVE,Mobile,Wisconsin,14974
976005,Gateway Inc.,74 BERTIE MINOR LN,Little Rock,Nebraska,51801
876947,Bank One Corporation,67 LA PLAYA,Bel Air,Washington,49643
250084,Pittston Brinks Group,128 DASHIELL HAMMETT ST,Yakima,Wyoming,56297
8902,Maxtor Corporation,3 RAUSCH ST,Roanoke,Wisconsin,85705
777145,Lockheed Martin Corporation,48 DORLAND ST,Miramar,Michigan,73738
673480,Kohl's Corp.,131 VALERTON CT,Sunnyvale,Ohio,2948
86622,Winn Dixie Stores Inc,13 SPARROW ST,Muskegon,Florida,71002
201876,Alliant Energy Corporation,111 CUTLER AVE,Fairfield,Indiana,37525
167858,American Water Works Company,181 HARBOR RD,Myrtle Beach,Florida,88882
539017,Olin Corp.,18 MARTINEZ ST,Mobile,Nebraska,9338
319739,American Electric Power Company,2 MISSISSIPPI ST,McAllen,West Virginia,47523
437541,The Bank of New York Company,162 PLEASANT ST,Lacey,Tennessee,43374
961869,Lennox International Inc.,21 PACIFIC AVE,Anchorage,Arizona,36115
195287,Viad Corp,177 BAKER ST,Clearwater,North Carolina,94721
179053,Brightpoint,183 RICHARDSON AVE,San Diego,New York,61885
251624,United Parcel Service Inc,69 BARRY CT,West Covina,New Hampshire,439
474758,Consolidated Edison Inc.,17 ATALAYA TER,McAllen,Delaware,86963
41981,Ross Stores Inc,16 NIMITZ DR,Barnstable,Virginia,54383
